Name,Age,Nationality,Team,Rating,Total Kills,Headshot %,Total deaths,K/D Ratio,Damage / Round,Kills / Round,Maps played
Mathieu 'ZywOo' Herbaut,18,France,Vitality,1.38,9173,44.2,6500,1.41,93.5,0.89,396
Aleksandr 's1mple' Kostyliev,21,Ukraine,Natus Vincere,1.23,22271,42.2,17179,1.30,87.0,0.85,992
Ismailcan 'XANTARES' Dörtkardeş,23,Turkey,BIG,1.22,20805,53.8,16881,1.23,95.4,0.86,930
Hansel 'BnTeT' Ferdinand,23,Indonesia,TYLOO,1.21,11494,38.7,8736,1.32,86.4,0.81,553
Marcelo 'coldzera' David,24,Brazil,MIBR,1.20,20768,47.8,15675,1.32,82.5,0.80,1000
Simon 'Sico' Williams,24,New Zealand,Grayhound,1.19,10519,35.6,7879,1.34,82.6,0.79,524
Kaike 'KSCERATO' Cerato,19,Brazil,FURIA,1.23,6046,52.7,4449,1.36,80.7,0.76,315
Andrew 'Kaze' Khong,24,Malaysia,ViCi,1.19,9593,29.2,7491,1.28,81.5,0.79,468
WingHei 'Freeman' Cheung,19,Hong Kong,ViCi,1.21,10556,50.0,8434,1.25,83.6,0.80,520
Nikola 'NiKo' Kovač,22,Bosnia and Herzegovina,FaZe,1.18,22424,50.5,18480,1.21,86.3,0.81,1048
Aran 'Sonic' Groesbeek,20,South Africa,ATK,1.18,8012,47.6,6340,1.26,83.5,0.79,407
David 'frozen' Čerňanský,16,Slovakia,mousesports,1.17,12632,54.4,10390,1.22,87.0,0.81,607
Owen 'smooya' Butterfield,19,United Kingdom,No team,1.20,7414,28.4,6080,1.22,82.1,0.80,354
Hyun-Pyo 'XigN' Lee,22,Korea,MVP PK,1.17,10537,50.6,8565,1.23,84.6,0.80,513
Yuri 'yuurih' Santos,19,Brazil,FURIA,1.25,8297,42.7,6676,1.24,89.7,0.80,407
Nicolai 'device' Reedtz,23,Denmark,Astralis,1.17,26620,35.3,21193,1.26,80.8,0.78,1313
Adrian 'XELLOW' Guta,18,Romania,Nexus,1.17,11530,43.7,9565,1.21,84.4,0.81,552
Vito 'kNgV-' Giuseppe,24,Brazil,INTZ,1.16,8601,30.2,6924,1.24,81.2,0.80,426
Cosmin-Mihai 'cosmeeeN' Butuc,20,Romania,Nexus,1.16,6526,46.5,5421,1.20,83.8,0.81,309
Euan 'sterling' Moore,20,New Zealand,No team,1.18,6541,30.6,5058,1.29,76.5,0.77,330
Valentin 'poizon' Vasilev,20,Bulgaria,Windigo,1.19,11977,34.7,9766,1.23,81.0,0.77,588
Özgür 'woxic' Eker,20,Turkey,mousesports,1.15,12358,33.0,9978,1.24,79.1,0.77,619
Tsvetelin 'CeRq' Dimitrov,19,Bulgaria,NRG,1.18,14268,27.2,11566,1.23,76.8,0.77,719
Kenny 'kennyS' Schrub,23,France,G2,1.15,29460,31.1,23809,1.24,76.1,0.78,1445
Kyran 'dizzyLife' Crombie,23,Australia,No team,1.15,6286,30.2,5102,1.23,82.6,0.78,319
Nemanja 'huNter' Kovač,23,Serbia,Valiance,1.15,17425,48.2,14570,1.20,87.3,0.80,844
Tim 'nawwk' Jonasson,21,Sweden,GamerLegion,1.17,6686,36.0,5469,1.22,78.4,0.78,329
Jay 'Liazz' Tregillgas,21,Australia,Renegades,1.15,11633,45.7,9385,1.24,83.2,0.75,606
Matthew 'Texta' O'Rourke,17,Australia,Chiefs,1.22,10379,40.1,8858,1.17,88.2,0.81,515
Simeon 'dream3r' Ganev,22,Bulgaria,Bojestvata,1.14,14049,49.2,11248,1.25,79.0,0.76,715
Russel 'Twistzz' Van Dulken,19,Canada,Liquid,1.14,15370,60.2,12696,1.21,79.1,0.76,784
Alencar 'trk' Rossato,23,Brazil,TeamOne,1.21,8818,47.7,7357,1.20,84.5,0.78,438
Fredrik 'FREDDyFROG' Gustafsson,25,Sweden,Chaos,1.14,12693,38.8,10310,1.23,82.3,0.76,633
Jere 'sergej' Salo,17,Finland,ENCE,1.19,9039,48.1,7408,1.22,83.1,0.77,448
Luís 'ZELIN' Lousada,25,Portugal,Giants,1.14,6102,47.4,5148,1.19,83.1,0.79,293
Otto 'ottoNd' Sihvo,21,Finland,Valiance,1.18,10684,26.2,8741,1.22,77.9,0.76,539
Buğra 'Calyx' Arkın,20,Turkey,ex-Space Soldiers,1.13,13937,55.1,11450,1.22,80.5,0.76,706
Niels-Christian 'NaToSaphiX' Sillassen,22,Denmark,Heroic,1.13,10523,35.2,8432,1.25,74.3,0.74,538
Ladislav 'GuardiaN' Kovács,27,Slovakia,FaZe,1.13,27217,29.2,22481,1.21,73.0,0.75,1380
Benedict 'Benkai' Tan,22,Singapore,BOOT,1.13,9091,45.3,7690,1.18,85.8,0.78,454
Ali 'Jame' Djami,20,Russia,AVANGAR,1.17,9900,25.6,7664,1.29,73.1,0.72,528
Tomáš 'oskar' Šťastný,27,Czech Republic,HellRaisers,1.13,18933,31.7,16034,1.18,79.6,0.77,936
Gage 'Infinite' Green,20,United States,Lazarus,1.17,6179,50.4,5335,1.16,81.8,0.76,314
Patrik 'f0rest' Lindberg,30,Sweden,NiP,1.13,29898,51.0,25063,1.19,76.5,0.77,1518
Erdenetsogt 'erkaSt' Gantulga,24,Mongolia,Grayhound,1.18,11710,50.2,9948,1.18,83.6,0.77,591
Anatoliy 'liTTle' Yashin,30,Russia,No team,1.12,9296,27.7,7730,1.20,79.0,0.77,453
Christopher 'dexter' Nong,24,Australia,Grayhound,1.12,10281,48.1,8815,1.17,84.1,0.77,526
Kitikawin 'PTC' Rattanasukol,20,Thailand,Lucid Dream,1.15,5554,35.9,4677,1.19,76.7,0.76,283
Kaleb 'moose' Jayne,21,Canada,eUnited,1.16,10877,42.7,9137,1.19,80.6,0.76,549
Vincent 'Brehze' Cayonte,20,United States,NRG,1.12,13882,52.2,12061,1.15,82.1,0.77,691
Muhammed 'mini' Salman,19,Turkey,ex-Royal Bandits,1.12,5603,57.3,4902,1.14,81.0,0.77,278
Jakob 'JUGi' Hansen,22,Denmark,North,1.12,14843,27.6,12192,1.22,76.3,0.74,779
Nevin 'splashske' Aw,20,Singapore,BOOT,1.12,10146,37.2,8796,1.15,78.8,0.76,520
Jesse 'zehN' Linjala,27,Finland,NoChance,1.12,12071,44.8,10355,1.17,82.1,0.75,617
Collin 'wrath' McSweegan,17,United States,MASSIVEimpact,1.12,6120,49.5,5448,1.12,85.7,0.79,302
Henrique 'HEN1' Teles,23,Brazil,Luminosity,1.12,13012,27.0,10570,1.23,75.2,0.72,703
Denis 'electronic' Sharipov,20,Russia,Natus Vincere,1.11,14887,51.3,12931,1.15,84.5,0.77,741
Emil 'Magisk' Reif,21,Denmark,Astralis,1.11,17271,48.1,14592,1.18,81.4,0.74,891
Christopher 'GeT_RiGhT' Alesund,28,Sweden,NiP,1.11,29886,49.1,25277,1.18,78.0,0.75,1548
YuanZhang 'AttackeR' Sheng,22,China,TYLOO,1.11,14941,46.0,12868,1.16,81.8,0.78,756
Aleksa 'Impulse' Stankić,23,Serbia,No team,1.15,7414,34.3,6263,1.18,76.5,0.73,386
YuLun 'Summer' Cai,21,China,TYLOO,1.11,14715,48.2,12556,1.17,82.3,0.76,763
Braxton 'swag' Pierce,22,United States,Lazarus,1.11,8875,48.8,7399,1.20,77.8,0.74,466
Yi 'gas' Ding,23,China,BTRG.IMBA,1.14,5939,60.2,5396,1.10,85.0,0.80,285
Bogdan 'xsepower' Chernikov,21,Russia,forZe,1.16,6383,26.5,5221,1.22,73.7,0.72,339
Jordan 'Hatz' Bajic,20,Australia,ORDER,1.17,10637,50.3,9163,1.16,79.7,0.74,563
Jani 'Aerial' Jussila,25,Finland,ENCE,1.17,9051,41.4,7914,1.14,81.7,0.76,452
Enkhtaivan 'Machinegun' Lkhagva,29,Mongolia,TheMongolz,1.11,6273,49.8,5641,1.11,82.0,0.78,321
Valdemar 'valde' Bjørn Vangså,23,Denmark,North,1.11,15407,45.4,13402,1.15,82.4,0.76,771
Peter 'BL1TZ' Athanasatos,26,Australia,Chiefs,1.12,7695,42.6,6781,1.13,77.4,0.76,396
Oscar 'mixwell' Cañellas,23,Spain,Movistar Riders,1.10,14595,39.0,12753,1.14,80.1,0.75,751
Vadim 'Flarich' Karetin,22,Latvia,pro100,1.13,10164,54.2,8747,1.16,79.4,0.74,527
Aleksi 'allu' Jalli,26,Finland,ENCE,1.10,25598,28.9,21873,1.17,75.6,0.75,1310
Richard 'shox' Papillon,26,France,G2,1.10,28574,49.4,24996,1.14,79.4,0.76,1441
Dener 'KHTEX' Barchfield,22,Brazil,No team,1.16,6143,47.4,5279,1.16,81.4,0.75,324
Tyson 'TenZ' Ngo,18,Canada,Bad News Bears,1.16,5809,52.5,5249,1.11,83.1,0.76,294
Kevin 'xccurate' Susanto,21,Indonesia,TYLOO,1.10,9463,31.2,8189,1.16,74.7,0.74,498
Aleksey 'El1an' Gusev,19,Russia,HOLLYWOOD,1.12,7825,28.6,6828,1.15,77.4,0.76,389
Raphael 'exit' Lacerda,22,Brazil,Sharks,1.15,6017,44.5,5130,1.17,81.3,0.74,319
Kristjan 'fejtZ' Allsaar,21,Estonia,BTRG,1.10,11039,47.0,9694,1.14,79.2,0.76,555
François 'AmaNEk' Delaunay,25,France,G2,1.10,9219,43.6,7884,1.17,80.9,0.74,471
Fernando 'fer' Alvarenga,27,Brazil,MIBR,1.10,20401,44.6,18075,1.13,84.5,0.76,1036
Alexey 'qikert' Golubev,20,Kazakhstan,AVANGAR,1.16,11754,55.6,10225,1.15,81.3,0.74,609
Rokas 'EspiranTo' Milasauskas,18,Lithuania,Valiance,1.13,11068,58.5,9925,1.12,78.8,0.77,558
Nemanja 'nexa' Isaković,22,Serbia,Valiance,1.10,12770,50.1,10979,1.16,80.2,0.73,668
Matthew 'WARDELL' Yu,20,Canada,Ghost,1.13,8754,27.2,7585,1.15,74.5,0.73,461
Žygimantas 'nukkye' Chmieliauskas,21,Lithuania,HellRaisers,1.13,7999,38.5,6949,1.15,78.4,0.73,423
Daniel 'mertz' Mertz,20,Denmark,No team,1.10,12273,33.5,10690,1.15,77.0,0.75,622
Peter 'dupreeh' Rasmussen,26,Denmark,Astralis,1.10,27625,50.6,24032,1.15,79.5,0.75,1433
WeiJie 'zhokiNg' Zhong,25,China,ViCi,1.09,16803,49.6,15188,1.11,85.8,0.77,861
Keith 'NAF' Markovic,21,Canada,Liquid,1.09,19084,41.7,16571,1.15,82.0,0.74,999
Josef 'faveN' Baumann,19,Germany,Sprout,1.15,9135,55.1,8171,1.12,80.3,0.75,461
Sean 'Gratisfaction' Kaiwai,23,New Zealand,Renegades,1.09,10828,31.1,9177,1.18,75.0,0.72,587
Pedro 'Maluk3' Campos,29,Brazil,TeamOne,1.14,9034,28.4,7763,1.16,75.2,0.73,481
Johannes 'nex' Maget,26,Germany,BIG,1.09,19373,51.3,17071,1.13,80.0,0.75,980
Issa 'ISSAA' Murad,22,Jordan,HellRaisers,1.09,9343,57.3,8238,1.13,79.1,0.75,483
Mareks 'YEKINDAR' Gaļinskis,19,Latvia,pro100,1.14,9341,56.3,8540,1.09,83.0,0.76,470
Bin 'Savage' Liu,30,China,5POWER,1.09,13793,36.8,11950,1.15,78.8,0.74,732
Adil 'ScreaM' Benrlitom,24,Belgium,GamerLegion,1.09,25863,67.9,22926,1.13,79.7,0.74,1345
Olof 'olofmeister' Kajbjer,27,Sweden,FaZe,1.09,23871,45.8,20910,1.14,76.6,0.74,1243
Gabriel 'FalleN' Toledo,27,Brazil,MIBR,1.09,19145,30.3,16117,1.19,73.0,0.71,1046
Viktor 'somedieyoung' Orudjev,22,Ukraine,Spirit,1.14,7573,51.3,6659,1.14,79.9,0.73,398
Nicolas 'NikoM' Miozzi,22,Argentina,No team,1.09,6859,45.1,6049,1.13,80.8,0.74,366
Austin 'Cooper-' Abadir,24,United States,eUnited,1.11,6719,32.7,5809,1.16,73.4,0.73,357
Justin 'jks' Savage,23,Australia,Renegades,1.09,14224,51.9,12447,1.14,78.6,0.72,763
Kristian 'k0nfig' Wienecke,22,Denmark,OpTic,1.09,19186,55.0,17510,1.10,81.9,0.76,967
Ethan 'Ethan' Arnold,19,United States,NRG,1.16,12558,49.7,11285,1.11,83.1,0.75,637
Ronnie 'ryx' Bylicki,26,United States,No team,1.09,9797,36.3,8616,1.14,83.7,0.76,491
Igor 'lollipop21k' Solodkov,22,Belarus,Nemiga,1.13,7710,45.4,6996,1.10,83.0,0.76,381
Timothy 'autimatic' Ta,22,United States,Cloud9,1.09,17892,46.6,15897,1.13,81.2,0.76,910
Kritthee 'Geniuss' Sawatmuang,20,Thailand,Lucid Dream,1.16,5391,55.1,4900,1.10,81.6,0.75,283
Michał 'MICHU' Müller,22,Poland,Virtus.pro,1.08,25481,49.6,23022,1.11,81.2,0.75,1295
Peeratch 'Olivia' Ingkudanonda,21,Thailand,Alpha Red,1.13,6673,39.7,5951,1.12,79.5,0.75,354
Joshua 'INS' Potter,20,Australia,ORDER,1.16,10512,41.9,9367,1.12,84.2,0.74,559
Shahzeb 'ShahZaM' Khan,25,United States,compLexity,1.08,17400,33.9,15378,1.13,75.0,0.74,903
Ahmet 'paz' Karahoca,22,Turkey,ex-Space Soldiers,1.08,13220,50.0,11684,1.13,76.1,0.73,704
Đorđe 'DJOXiC' Niciforović,26,Serbia,Entity,1.08,8909,29.8,7691,1.16,73.1,0.72,484
Miikka 'suNny' Kemppi,24,Finland,No team,1.08,20171,46.1,18321,1.10,82.9,0.76,1016
Kenneth 'koosta' Suen,22,United States,Ghost,1.08,14334,34.2,12878,1.11,76.4,0.73,745
Robin 'ropz' Kool,19,Estonia,mousesports,1.12,9939,52.4,8641,1.15,77.5,0.72,530
William 'draken' Sundin,23,Sweden,Ancient,1.08,16210,30.9,14218,1.14,74.7,0.73,853
Simon 'twist' Eliasson,24,Sweden,fnatic,1.08,22548,41.1,20413,1.10,79.9,0.75,1145
Andrei 'arT' Piovezan,23,Brazil,FURIA,1.16,7448,32.6,6687,1.11,80.4,0.75,392
Kevin 'keev' Bartholomäus,27,Germany,No team,1.08,11408,29.1,10191,1.12,73.6,0.73,594
Florian 'syrsoN' Rische,23,Germany,Sprout,1.08,17621,32.8,15591,1.13,75.2,0.73,915
Georgi 'WorldEdit' Yaskin,27,Russia,Winstrike,1.08,21064,28.1,18825,1.12,76.6,0.74,1096
Lucas 'Lucky' Chastang,21,France,G2,1.13,6682,42.5,5895,1.13,78.5,0.72,352
Tyler 'tucks' Reilly,22,Australia,Chiefs,1.08,10521,43.7,9308,1.13,77.3,0.73,574
Saif 'Sayf' Jibraeel,18,Sweden,nerdRage,1.08,6068,42.5,5512,1.10,77.5,0.74,305
Sergey 'smike' Sklyarenko,20,Ukraine,Vengeance,1.08,8730,33.2,8048,1.08,76.0,0.75,448
Joey 'CRUC1AL' Steusel,22,Netherlands,Epsilon,1.08,10381,31.7,9450,1.10,74.0,0.74,551
Lei 'bottle' Mao,25,China,5POWER,1.08,9233,55.9,8396,1.10,80.6,0.75,489
René 'cajunb' Borg,29,Denmark,Cloud9,1.08,25293,39.9,22239,1.14,75.2,0.72,1352
Hui 'DD' Wu,24,China,OneThree,1.08,13997,42.1,12596,1.11,81.5,0.74,735
Jonathan 'EliGE' Jablonowski,21,United States,Liquid,1.08,20164,48.5,18523,1.09,83.0,0.75,1037
Alexandre 'xand' Zizi,24,Brazil,INTZ,1.07,6199,48.7,5647,1.10,81.9,0.75,329
Thomas 'Ryxxo' Nielsen,22,Denmark,STEPxHYDR,1.07,9562,33.9,8498,1.13,75.9,0.72,506
Zhen 'HZ' Huang,29,China,OneThree,1.07,8106,49.4,7316,1.11,83.2,0.74,424
Tosapol 'TOR' Saekow,26,Thailand,No team,1.07,7457,28.3,6727,1.11,78.0,0.73,400
Robin 'flusha' Rönnquist,25,Sweden,No team,1.07,27411,41.9,24464,1.12,83.9,0.73,1447
Jesse 'InfrequeNt' Barker,24,Australia,No team,1.07,8755,33.9,7811,1.12,76.4,0.73,467
Erik 'fl0m' Flom,26,United States,Mythic,1.07,6003,27.8,5368,1.12,76.1,0.72,319
Chris 'ofnu' Hanley,26,New Zealand,Chiefs,1.07,10376,48.0,9381,1.11,79.4,0.73,560
Peter 'ptr' Gurney,28,United States,Bad News Bears,1.07,14232,25.4,12486,1.14,73.7,0.71,766
Simon 'downie' Storm,24,Sweden,No team,1.07,5808,48.6,5133,1.13,76.2,0.71,312
Ramazan 'Ramz1k' Bashizov,19,Kazakhstan,Syman,1.10,5615,35.8,5161,1.09,78.3,0.76,285
Bruno 'shz' Martinelli,21,Brazil,ex-Imperial,1.11,8319,51.3,7506,1.11,78.4,0.73,442
Nikolay 'mir' Bityukov,23,Russia,Gambit,1.07,8939,51.1,8025,1.11,77.8,0.74,461
HaoWen 'somebody' Xu,23,China,TYLOO,1.07,15036,45.2,13657,1.10,80.3,0.73,796
Nikhil 'NikkeZ' Victor,23,Australia,No team,1.07,6953,47.1,6380,1.09,82.7,0.75,359
Georgi 'SHiPZ' Grigorov,18,Bulgaria,Windigo,1.11,15948,51.2,14770,1.08,78.9,0.75,811
Nikolay 'niki1' Pantaleev,28,Bulgaria,Bpro,1.07,10342,47.7,9464,1.09,84.0,0.74,549
Victor 'iDk' Torraca,21,Brazil,TeamOne,1.13,9276,45.2,8487,1.09,81.9,0.74,491
Allan 'AnJ' Jensen,24,Denmark,LPSP,1.07,7040,50.6,6276,1.12,77.5,0.72,375
Vadim 'DavCost' Vasilyev,22,Russia,OwmS,1.07,17278,31.7,15567,1.11,75.6,0.72,915
Jesper 'JW' Wecksell,24,Sweden,fnatic,1.07,29125,36.8,26714,1.09,77.8,0.74,1497
Dimitri 'Detrony' Hadjipaschali,28,South Africa,Bravado,1.07,6587,35.1,5952,1.11,76.5,0.72,363
Mike 'shroud' Grzesiek,24,Canada,No team,1.07,12588,52.9,11277,1.12,76.1,0.72,676
Audric 'JaCkz' Jug,26,France,G2,1.07,9193,56.2,8486,1.08,81.0,0.73,484
Aleksandar 'jayzaR' Zarkovic,21,Sweden,GameAgents,1.07,8222,37.1,7573,1.09,79.1,0.74,423
Jacob 'Pimp' Winneche,23,Denmark,No team,1.07,18095,46.6,16088,1.12,78.3,0.72,975
Tarik 'tarik' Celik,23,United States,NRG,1.06,20047,37.2,18383,1.09,78.7,0.74,1056
Nikola 'NK4Y' Radushev,23,Bulgaria,Bpro,1.10,7010,62.2,6402,1.09,78.5,0.73,374
Phoomphat 'qqGOD' Phodjanat,21,Thailand,Lucid Dream,1.06,6287,40.2,5789,1.09,81.5,0.73,334
Vincent 'Happy' Schopenhauer,27,France,LDLC,1.06,26736,41.2,23960,1.12,77.5,0.74,1393
Ludvig 'Brollan' Brolin,16,Sweden,fnatic,1.11,9007,52.9,8344,1.08,79.3,0.73,470
João 'felps' Vasconcellos,22,Brazil,MIBR,1.06,13198,44.5,12330,1.07,84.5,0.76,685
Pavel 'COLDYY1' Veklenko,27,Ukraine,Spirit,1.06,16667,55.4,14970,1.11,77.8,0.72,881
Ali 'hAdji' Haïnouss,23,France,FrenchFrogs,1.06,10272,46.2,9360,1.10,79.4,0.73,546
Christian 'loWel' Garcia Antoran,22,Spain,HellRaisers,1.06,13934,46.6,12503,1.11,78.0,0.72,744
Jonathan 'JonY BoY' Muñoz,27,Argentina,x6tence,1.06,5043,33.4,4578,1.10,76.5,0.72,277
Lincoln 'fnx' Lau,29,Brazil,Não Tem Como,1.06,8915,49.5,8020,1.11,82.1,0.73,483
Freddy 'KRIMZ' Johansson,25,Sweden,fnatic,1.06,23715,40.0,21144,1.12,76.9,0.71,1277
Nicolas 'Plopski' Gonzalez Zamora,16,Sweden,Ancient,1.12,8158,41.1,7417,1.10,79.8,0.73,422
Ricardo 'boltz' Prass,22,Brazil,Luminosity,1.06,16729,38.9,15060,1.11,82.4,0.72,898
Dylan 'RIKO' Sabin-Arnce,23,United States,Royal,1.10,5649,52.5,5306,1.06,80.0,0.75,290
Edgar 'MarKE' Maldonado,21,Mexico,eUnited,1.14,6993,53.9,6371,1.10,81.8,0.73,375
Johannes 'tabseN' Wodarz,24,Germany,BIG,1.06,23231,47.9,22125,1.05,86.6,0.75,1195
Alistair 'aliStair' Johnston,21,Australia,ORDER,1.11,10219,38.0,9123,1.12,74.9,0.71,570
Ian 'motm' Hardy,19,United States,No team,1.10,5507,50.4,5091,1.08,76.0,0.73,293
Ryan 'Snakes' Amann,16,United States,Spacestation,1.12,5242,44.2,4818,1.09,79.5,0.73,281
Håvard 'rain' Nygaard,24,Norway,FaZe,1.06,20802,55.5,19488,1.07,82.6,0.74,1080
Joakim 'Relaxa' Gustafsson,25,Sweden,Chaos,1.06,11629,31.7,10196,1.14,74.7,0.69,636
Liam 'malta' Schembri,23,Australia,Grayhound,1.13,11048,39.0,10008,1.10,79.3,0.71,610
Tyler 'Skadoodle' Latham,25,United States,No team,1.06,18365,24.8,15907,1.15,67.5,0.68,1047
Jorgen 'cromen' Robertsen,23,Norway,Nordavind,1.06,5740,49.5,5314,1.08,78.0,0.72,305
Rustem 'mou' Telepov,27,Kazakhstan,Gambit,1.06,18580,28.5,16983,1.09,75.0,0.72,984
Kevin 'HS' Tarn,22,Estonia,GamerLegion,1.06,11532,49.9,10858,1.06,80.1,0.74,594
Iyengaran 'IyeN' Raju,21,Australia,No team,1.06,6333,35.1,5977,1.06,82.1,0.75,329
Markus 'Kjaerbye' Kjærbye,21,Denmark,North,1.06,23113,52.9,21093,1.10,79.4,0.72,1233
Ryan 'zewsy' Palmer,22,New Zealand,Chiefs,1.06,9457,40.7,8767,1.08,79.9,0.72,518
ZhiHai 'QKA' Fu,25,China,No team,1.09,6850,40.0,6281,1.09,74.9,0.73,362
Abay 'Hobbit' Khasenov,24,Kazakhstan,No team,1.06,11380,46.5,10438,1.09,79.7,0.73,598
Paulo 'land1n' Felipe,25,Brazil,paiN,1.05,8374,30.9,7393,1.13,71.2,0.69,473
Michael 'dapr' Gulino,20,United States,Lazarus,1.11,8090,44.5,7509,1.08,79.1,0.72,436
Dan 'apEX' Madesclaire,26,France,Vitality,1.05,26961,53.1,25511,1.06,81.9,0.75,1382
Rafael 'raafa' Lima,25,Brazil,W7M,1.08,6953,27.3,6249,1.11,72.5,0.70,382
Egor 'flamie' Vasilyev,22,Russia,Natus Vincere,1.05,22388,54.3,20734,1.08,78.7,0.73,1173
Agung 'Sys' Frianto,24,Indonesia,Recca,1.05,5930,37.4,5473,1.08,79.7,0.73,319
Timur 'buster' Tulepov,19,Kazakhstan,AVANGAR,1.11,11919,47.0,10704,1.11,75.1,0.70,657
Kamen 'bubble' Kostadinov,27,Bulgaria,Windigo,1.05,26882,39.4,24131,1.11,77.1,0.71,1466
Karol 'rallen' Rodowicz,24,Poland,ex-devils.one,1.05,22507,41.5,20561,1.09,82.4,0.72,1182
Gabriel '1962' Sinopoli,23,Argentina,Isurus,1.11,5670,53.0,5381,1.05,78.2,0.73,298
Janusz 'Snax' Pogorzelski,25,Poland,Virtus.pro,1.05,26606,38.6,24504,1.09,75.7,0.71,1430
Hae-Sung 'HSK' Kim,24,Korea,MVP PK,1.05,9105,30.4,8171,1.11,75.5,0.71,503
Hunter 'SicK' Mims,20,United States,compLexity,1.05,13410,50.1,12446,1.08,78.0,0.73,708
Almaz 'almazer' Asadullin,20,Russia,forZe,1.10,7849,52.5,7297,1.08,78.4,0.72,419
Joakim 'disco doplan' Gidetun,23,Sweden,Ancient,1.05,15682,43.8,14434,1.09,77.6,0.71,835
Wei 'shuadapai' Wang,28,China,5POWER,1.10,7383,51.9,6818,1.08,77.8,0.71,400
Ricardo 'Rickeh' Mulholland,27,Australia,compLexity,1.05,9990,38.3,9067,1.10,76.7,0.70,540
